# moveID "Title" year "Genres" ImdbID Rating #Raters
193587 "Bungo Stray Dogs: Dead Apple" 2018 "Action|Animation" 8391976 3.5 1
193583 "No Game No Life: Zero" 2017 "Animation|Comedy|Fantasy" 5914996 3.5 1
193581 "Black Butler: Book of the Atlantic" 2017 "Action|Animation|Comedy|Fantasy" 5476944 4 1
193579 "Jon Stewart Has Left the Building" 2015 "Documentary" 5342766 3.5 1
193573 "Love Live! The School Idol Movie" 2015 "Animation" 3837248 4 1
193571 "Silver Spoon" 2014 "Comedy|Drama" 3110014 4 1
190215 "Liquid Truth" 2017 "Drama" 7293380 1.5 1
190207 "Tilt" 2011 "Drama|Romance" 1680019 1.5 1
190183 "The Darkest Minds" 2018 "Sci-Fi|Thriller" 4073790 3.5 1
189547 "Iron Soldier" 2010 "Action|Sci-Fi" 1665744 1 1
189333 "Mission: Impossible - Fallout" 2018 "Action|Adventure|Thriller" 4912910 3.75 2
188797 "Tag" 2018 "Comedy" 2854926 4 1
188675 "Dogman" 2018 "Crime|Drama" 6768578 3.5 1
187593 "Deadpool 2" 2018 "Action|Comedy|Sci-Fi" 5463162 3.875 12
185135 "Sherlock - A Study in Pink" 2010 "Crime" 1665071 4.75 2
183959 "Tom Segura: Disgraceful" 2018 "Comedy" 7379330 4.5 1
183317 "Patti Rocks" 1988 "Comedy|Drama" 95835 4.5 1
182639 "The Second Renaissance Part II" 2003 "Animation|Sci-Fi" 368575 4 1
181413 "Too Funny to Fail: The Life and Death of The Dana Carvey Show" 2017 "(no genres listed)" 7544820 4.5 1
181139 "Lynne Koplitz: Hormonal Beast" 2017 "Comedy" 6892388 1.5 1
180987 "Ferdinand" 2017 "Animation|Children|Comedy" 3411444 1.5 1
180985 "The Greatest Showman" 2017 "Drama" 1485796 3 5
180777 "Die Frauen von Ravensbrück" 2005 "Documentary" 832879 4.5 1
180497 "The Post" 2017 "Drama|Thriller" 6294822 4.25 2
180297 "The Disaster Artist" 2017 "Comedy|Drama" 3521126 3.75 2
180265 "Jim & Andy: The Great Beyond" 2017 "Documentary" 7214762 4.5 1
180263 "The Shining" 1997 "Drama|Horror|Thriller" 118460 2 1
180231 "Daddy's Home 2" 2017 "Comedy|Drama" 5657846 4 1
180095 "Wonder" 2017 "Drama" 2543472 4 3
180045 "Molly's Game" 2017 "Drama" 4209788 4 1
179819 "Star Wars: The Last Jedi" 2017 "Action|Adventure|Fantasy|Sci-Fi" 2527336 3.125 12
179815 "Roman J. Israel, Esq." 2017 "Drama|Thriller" 6000478 1.5 1
179749 "Creep 2" 2017 "Comedy|Horror" 3654796 1.5 1
179709 "Wonder Wheel" 2017 "Drama" 5825380 3 1
179401 "Jumanji: Welcome to the Jungle" 2017 "Action|Adventure|Children" 2283362 3.66667 6
179211 "Christina P: Mother Inferior" 2017 "Comedy" 7057376 3 2
179135 "Blue Planet II" 2017 "Documentary" 6769208 5 1
179133 "Loving Vincent" 2017 "Animation|Crime|Drama" 3262342 5 1
179119 "The Death of Stalin" 2017 "Comedy" 4686844 4 1
179073 "Male Hunt" 1964 "Comedy" 57936 3 1
179053 "2048: Nowhere to Run" 2017 "Sci-Fi|Thriller" 7387408 3.5 1
178615 "Front Cover" 2016 "Comedy|Drama|Romance" 3185602 3.5 1
178323 "Gaga: Five Foot Two" 2017 "Documentary" 7291268 3.5 1
178129 "Adventures in Plymptoons!" 2011 "Documentary" 1691448 3.5 1
178111 "Fireworks, Should We See It from the Side or the Bottom?" 2017 "Animation" 6317962 2 1
177765 "Coco" 2017 "Adventure|Animation|Children" 2380307 3.53846 13
176935 "Geostorm" 2017 "Action" 1981128 2 1
176805 "Little Boxes" 2017 "Comedy|Drama" 5030402 4 1
176751 "American Made" 2017 "Crime|Thriller" 3532216 4.5 2
176579 "Cage Dive" 2017 "Drama|Horror|Thriller" 4126568 1 1
176423 "Icarus" 2017 "Documentary" 6333060 4 1
176419 "Mother!" 2017 "Drama|Horror|Mystery|Thriller" 5109784 3.25 2
176413 "Bliss" 2012 "Drama" 1835980 4.5 1
176329 "Ari Shaffir: Double Negative" 2017 "Comedy" 6254796 4 1
176051 "LEGO DC Super Hero Girls: Brain Drain" 2017 "Animation" 7158814 3.5 1
175781 "Der Herr Karl" 1961 "Comedy" 273646 3 1
175743 "Self-criticism of a Bourgeois Dog" 2017 "Comedy" 6354108 3 1
175707 "A German Life" 2016 "Documentary" 5135434 3 1
175693 "Rick and Morty: State of Georgia Vs. Denver Fenton Allen" 2016 "Comedy|Crime" 5950978 2.5 1
175431 "Bobik Visiting Barbos" 1977 "Animation|Comedy" 1070753 5 1
175387 "On the Trail of the Bremen Town Musicians" 1973 "Adventure|Animation|Children" 251333 5 1
175303 "It" 2017 "Horror" 1396484 3.33333 9
175199 "Annabelle: Creation" 2017 "Horror" 5140878 4 1
175197 "The Dark Tower" 2017 "Fantasy|Horror|Sci-Fi|Western" 1648190 3.5 1
174909 "Logan Lucky" 2017 "Comedy" 5439796 4.5 1
174737 "Don Camillo in Moscow" 1965 "Comedy" 59049 3 1
174141 "Belladonna of Sadness" 1973 "Animation|Drama|Fantasy" 71203 3.5 1
174053 "Black Mirror: White Christmas" 2014 "Drama|Horror|Mystery|Sci-Fi|Thriller" 3973198 4.75 4
